"rid","us_elevation_mean"
701297325,NA
701297393,NA
701297415,NA
701297422,NA
701297429,NA
701297585,NA
701297750,NA
701297989,NA
701297996,NA
701298001,NA
701298002,NA
701298007,NA
701298094,NA
701298111,NA
701298212,NA
701298215,NA
701298223,NA
701298324,NA
701300406,NA
701300606,NA
701300688,NA
701300924,NA
701300928,NA
701301307,NA
701301390,NA
701301450,NA
701301534,NA
701301623,NA
701301753,NA
701301789,NA
701301815,NA
701301845,NA
701298299,1299.45843746739
701298619,1310.96610461451
701292379,1418.41173298581
701290793,1538.073012939
701290799,1538.073012939
701290802,1533.86283267704
701290901,1533.86283267704
701290914,1533.86283267704
701290963,1531.85817056864
701290998,1531.85817056864
701291013,1528.60904773651
701291039,1528.60904773651
701291105,1528.53621921682
701291207,1528.34273946705
701291247,1526.61185970915
701291654,1525.89180636432
701291747,1523.56232665465
701291923,1523.52086994606
701292007,1514.26228313986
701299526,1370.06842844328
701299676,1373.771445106
701300008,1282.29554771146
701300079,1282.29554771146
701300108,1282.29554771146
701300152,1282.29554771146
701300242,1306.99141630901
701293137,1209.83644859813
701293163,1209.83644859813
701293245,1209.83644859813
701293310,1209.83644859813
701294032,1209.83644859813
701294259,1203.62702111616
701294451,1287.52509765932
701294452,1292.80710394949
701294048,1262.38165184058
701294079,1291.70166666667
701294093,1229.44428876764
701294002,1241.4364640884
701300155,1378.93226448304
701300175,1378.93226448304
701300187,1378.97206365462
701300204,1370.62393404106
701300241,1376.03115955737
701300324,1376.03115955737
701300346,1376.56475549179
701300452,1376.56475549179
701300469,1418.23194926459
701301285,1422.48259193673
701301340,1426.15398465461
701302543,1432.60436716098
701302676,1470.26118306855
701302870,1479.10082304527
701292793,1390.12849069396
701292844,1384.2963233659
701292904,1384.2963233659
701292923,1423.60829088412
701292924,1412.39070581118
701292927,1428.941740679
701292960,1384.2963233659
701292962,1384.2963233659
701292988,1384.2963233659
701292989,1438.70638552238
701295222,1593.10091118525
701295964,1571.17967802643
701298510,1515.60154077966
701298573,1515.60154077966
701297743,1502.31800110258
701297745,1502.31800110258
701297748,1502.31800110258
701297749,1502.31800110258
701297891,1487.9010172875
701297917,1487.9010172875
701297920,1487.9010172875
701297949,1487.9010172875
701297959,1481.97164101406
701297978,1502.31800110258
701298387,1481.97164101406
